orig_fips,county_state,total_out_exemptions
22105,"Tangipahoa Parish, Louisiana",2357
13047,"Catoosa County, Georgia",2356
51680,"Lynchburg city, Virginia",2352
37069,"Franklin County, North Carolina",2350
20161,"Riley County, Kansas",2348
24009,"Calvert County, Maryland",2346
47147,"Robertson County, Tennessee",2341
19155,"Pottawattamie County, Iowa",2337
56021,"Laramie County, Wyoming",2330
34041,"Warren County, New Jersey",2317
24043,"Washington County, Maryland",2310
29051,"Cole County, Missouri",2301
26055,"Grand Traverse County, Michigan",2299
51061,"Fauquier County, Virginia",2297
40125,"Pottawatomie County, Oklahoma",2295
48071,"Chambers County, Texas",2295
16083,"Twin Falls County, Idaho",2293
13013,"Barrow County, Georgia",2290
48397,"Rockwall County, Texas",2282
37155,"Robeson County, North Carolina",2270
30031,"Gallatin County, Montana",2266
51031,"Campbell County, Virginia",2263
41019,"Douglas County, Oregon",2254
27013,"Blue Earth County, Minnesota",2233
48471,"Walker County, Texas",2225
13295,"Walker County, Georgia",2218
42049,"Erie County, Pennsylvania",2218
18109,"Morgan County, Indiana",2217
01055,"Etowah County, Alabama",2207
18067,"Howard County, Indiana",2195
18091,"La Porte County, Indiana",2193
34011,"Cumberland County, New Jersey",2190
38035,"Grand Forks County, North Dakota",2181
40119,"Payne County, Oklahoma",2178
39003,"Allen County, Ohio",2173
30013,"Cascade County, Montana",2159
51165,"Rockingham County, Virginia",2151
48055,"Caldwell County, Texas",2141
17091,"Kankakee County, Illinois",2138
51683,"Manassas city, Virginia",2133
39043,"Erie County, Ohio",2132
51540,"Charlottesville city, Virginia",2131
55117,"Sheboygan County, Wisconsin",2130
32005,"Douglas County, Nevada",2128
55021,"Columbia County, Wisconsin",2126
21151,"Madison County, Kentucky",2114
47089,"Jefferson County, Tennessee",2114
48005,"Angelina County, Texas",2112
24015,"Cecil County, Maryland",2095
41033,"Josephine County, Oregon",2093
45075,"Orangeburg County, South Carolina",2090
37023,"Burke County, North Carolina",2083
13297,"Walton County, Georgia",2079
42011,"Berks County, Pennsylvania",2075
01115,"St. Clair County, Alabama",2074
47155,"Sevier County, Tennessee",2071
53041,"Lewis County, Washington",2069
05069,"Jefferson County, Arkansas",2068
29169,"Pulaski County, Missouri",2068
47119,"Maury County, Tennessee",2067
53025,"Grant County, Washington",2061
41059,"Umatilla County, Oregon",2060
55109,"St. Croix County, Wisconsin",2060
13039,"Camden County, Georgia",2057
06045,"Mendocino County, California",2056
37093,"Hoke County, North Carolina",2053
26117,"Montcalm County, Michigan",2052
48497,"Wise County, Texas",2049
17007,"Boone County, Illinois",2046
45059,"Laurens County, South Carolina",2040
48203,"Harrison County, Texas",2040
33001,"Belknap County, New Hampshire",2032
36113,"Warren County, New York",2027
05033,"Crawford County, Arkansas",2020
42095,"Northampton County, Pennsylvania",2011
47011,"Bradley County, Tennessee",2006
49045,"Tooele County, Utah",2006
18085,"Kosciusko County, Indiana",2005
26111,"Midland County, Michigan",2004
39029,"Columbiana County, Ohio",2002
22045,"Iberia Parish, Louisiana",1997
20015,"Butler County, Kansas",1987
26017,"Bay County, Michigan",1987
48373,"Polk County, Texas",1986
17115,"Macon County, Illinois",1983
01001,"Autauga County, Alabama",1982
36053,"Madison County, New York",1979
18005,"Bartholomew County, Indiana",1977
37019,"Brunswick County, North Carolina",1976
12089,"Nassau County, Florida",1967
13157,"Jackson County, Georgia",1957
53045,"Mason County, Washington",1950
28075,"Lauderdale County, Mississippi",1947
22097,"St. Landry Parish, Louisiana",1944
26155,"Shiawassee County, Michigan",1939
47047,"Fayette County, Tennessee",1938
26073,"Isabella County, Michigan",1934
18173,"Warrick County, Indiana",1931
38015,"Burleigh County, North Dakota",1929
13115,"Floyd County, Georgia",1926
51149,"Prince George County, Virginia",1924
39077,"Huron County, Ohio",1920
27025,"Chisago County, Minnesota",1907
37195,"Wilson County, North Carolina",1902
05051,"Garland County, Arkansas",1899
26091,"Lenawee County, Michigan",1893
48199,"Hardin County, Texas",1891
51095,"James City County, Virginia",1884
22087,"St. Bernard Parish, Louisiana",1881
32019,"Lyon County, Nevada",1879
29101,"Johnson County, Missouri",1871
37027,"Caldwell County, North Carolina",1870
24047,"Worcester County, Maryland",1866
40101,"Muskogee County, Oklahoma",1863
17077,"Jackson County, Illinois",1859
22089,"St. Charles Parish, Louisiana",1858
37089,"Henderson County, North Carolina",1851
39015,"Brown County, Ohio",1846
08037,"Eagle County, Colorado",1840
25003,"Berkshire County, Massachusetts",1832
04007,"Gila County, Arizona",1830
26067,"Ionia County, Michigan",1830
01121,"Talladega County, Alabama",1828
29145,"Newton County, Missouri",1823
55141,"Wood County, Wisconsin",1822
26015,"Barry County, Michigan",1820
12035,"Flagler County, Florida",1819
37157,"Rockingham County, North Carolina",1819
51630,"Fredericksburg city, Virginia",1813
40083,"Logan County, Oklahoma",1808
