dest_fips,county_state,total_in_exemptions
01125,"Tuscaloosa County, Alabama",3917
37127,"Nash County, North Carolina",3916
22005,"Ascension Parish, Louisiana",3910
36063,"Niagara County, New York",3910
27109,"Olmsted County, Minnesota",3903
48213,"Henderson County, Texas",3903
55105,"Rock County, Wisconsin",3902
55127,"Walworth County, Wisconsin",3890
13179,"Liberty County, Georgia",3883
55109,"St. Croix County, Wisconsin",3879
51199,"York County, Virginia",3875
05131,"Sebastian County, Arkansas",3871
48231,"Hunt County, Texas",3869
41053,"Polk County, Oregon",3864
21047,"Christian County, Kentucky",3860
37049,"Craven County, North Carolina",3844
22019,"Calcasieu Parish, Louisiana",3843
18105,"Monroe County, Indiana",3783
37037,"Chatham County, North Carolina",3772
45003,"Aiken County, South Carolina",3767
19163,"Scott County, Iowa",3762
39155,"Trumbull County, Ohio",3747
51069,"Frederick County, Virginia",3739
48021,"Bastrop County, Texas",3737
22073,"Ouachita Parish, Louisiana",3722
36065,"Oneida County, New York",3719
20177,"Shawnee County, Kansas",3715
47163,"Sullivan County, Tennessee",3715
51061,"Fauquier County, Virginia",3708
17007,"Boone County, Illinois",3703
20045,"Douglas County, Kansas",3690
08014,"Broomfield County, Colorado",3671
16019,"Bonneville County, Idaho",3641
37001,"Alamance County, North Carolina",3605
23011,"Kennebec County, Maine",3574
06115,"Yuba County, California",3570
55089,"Ozaukee County, Wisconsin",3569
48291,"Liberty County, Texas",3525
47047,"Fayette County, Tennessee",3519
23019,"Penobscot County, Maine",3504
26145,"Saginaw County, Michigan",3498
55027,"Dodge County, Wisconsin",3486
30111,"Yellowstone County, Montana",3482
53021,"Franklin County, Washington",3475
13047,"Catoosa County, Georgia",3469
55055,"Jefferson County, Wisconsin",3467
47179,"Washington County, Tennessee",3449
40037,"Creek County, Oklahoma",3448
54039,"Kanawha County, West Virginia",3425
41071,"Yamhill County, Oregon",3422
02170,"Matanuska-Susitna Borough, Alaska",3421
47009,"Blount County, Tennessee",3413
46083,"Lincoln County, South Dakota",3412
05085,"Lonoke County, Arkansas",3410
30063,"Missoula County, Montana",3405
05125,"Saline County, Arkansas",3402
51095,"James City County, Virginia",3399
46103,"Pennington County, South Dakota",3397
27137,"St. Louis County, Minnesota",3392
41003,"Benton County, Oregon",3390
36069,"Ontario County, New York",3385
37019,"Brunswick County, North Carolina",3383
29097,"Jasper County, Missouri",3342
26037,"Clinton County, Michigan",3321
21037,"Campbell County, Kentucky",3316
48135,"Ector County, Texas",3311
17161,"Rock Island County, Illinois",3287
49005,"Cache County, Utah",3286
26075,"Jackson County, Michigan",3282
26087,"Lapeer County, Michigan",3279
28035,"Forrest County, Mississippi",3278
01051,"Elmore County, Alabama",3271
18059,"Hancock County, Indiana",3269
45041,"Florence County, South Carolina",3261
48451,"Tom Green County, Texas",3243
34011,"Cumberland County, New Jersey",3195
15009,"Maui County, Hawaii",3186
27025,"Chisago County, Minnesota",3168
26121,"Muskegon County, Michigan",3167
33009,"Grafton County, New Hampshire",3165
23001,"Androscoggin County, Maine",3164
48181,"Grayson County, Texas",3160
18043,"Floyd County, Indiana",3157
45077,"Pickens County, South Carolina",3146
13185,"Lowndes County, Georgia",3132
01115,"St. Clair County, Alabama",3117
51019,"Bedford County, Virginia",3115
48409,"San Patricio County, Texas",3111
06023,"Humboldt County, California",3108
55035,"Eau Claire County, Wisconsin",3108
01069,"Houston County, Alabama",3091
13297,"Walton County, Georgia",3085
44005,"Newport County, Rhode Island",3085
36045,"Jefferson County, New York",3075
08101,"Pueblo County, Colorado",3073
36007,"Broome County, New York",3070
24045,"Wicomico County, Maryland",3059
13095,"Dougherty County, Georgia",3049
55015,"Calumet County, Wisconsin",3043
37151,"Randolph County, North Carolina",3034
48071,"Chambers County, Texas",3016
39109,"Miami County, Ohio",3006
32005,"Douglas County, Nevada",3004
12087,"Monroe County, Florida",2988
13157,"Jackson County, Georgia",2985
29071,"Franklin County, Missouri",2984
17063,"Grundy County, Illinois",2969
22105,"Tangipahoa Parish, Louisiana",2967
34009,"Cape May County, New Jersey",2958
37159,"Rowan County, North Carolina",2946
41033,"Josephine County, Oregon",2943
05031,"Craighead County, Arkansas",2942
18095,"Madison County, Indiana",2941
32510,"Carson City, Nevada",2938
27009,"Benton County, Minnesota",2936
17099,"La Salle County, Illinois",2929
30031,"Gallatin County, Montana",2923
26025,"Calhoun County, Michigan",2919
26055,"Grand Traverse County, Michigan",2911
39023,"Clark County, Ohio",2905
39055,"Geauga County, Ohio",2895
53015,"Cowlitz County, Washington",2885
26021,"Berrien County, Michigan",2884
21227,"Warren County, Kentucky",2875
41019,"Douglas County, Oregon",2864
33001,"Belknap County, New Hampshire",2862
48479,"Webb County, Texas",2840
37069,"Franklin County, North Carolina",2826
47119,"Maury County, Tennessee",2799
22057,"Lafourche Parish, Louisiana",2776
01103,"Morgan County, Alabama",2768
17091,"Kankakee County, Illinois",2760
26159,"Van Buren County, Michigan",2753
53007,"Chelan County, Washington",2750
12055,"Highlands County, Florida",2742
53045,"Mason County, Washington",2731
48037,"Bowie County, Texas",2727
37093,"Hoke County, North Carolina",2724
55073,"Marathon County, Wisconsin",2721
12089,"Nassau County, Florida",2709
47147,"Robertson County, Tennessee",2693
56021,"Laramie County, Wyoming",2685
36105,"Sullivan County, New York",2679
37045,"Cleveland County, North Carolina",2679
21151,"Madison County, Kentucky",2668
29113,"Lincoln County, Missouri",2662
55021,"Columbia County, Wisconsin",2651
37191,"Wayne County, North Carolina",2648
01001,"Autauga County, Alabama",2641
18011,"Boone County, Indiana",2634
06033,"Lake County, California",2626
13295,"Walker County, Georgia",2626
47113,"Madison County, Tennessee",2622
01045,"Dale County, Alabama",2621
49045,"Tooele County, Utah",2620
19155,"Pottawattamie County, Iowa",2595
36109,"Tompkins County, New York",2577
40113,"Osage County, Oklahoma",2564
26117,"Montcalm County, Michigan",2558
